,return_top20,Date,return_top10,return_top5,return_randamu,Mkt-RF,Mkt-Rf_div100,SMB,HML,RF, S&P ,SMB-Rf,HML-RF,Mkt-Rf_Cum,SMB-Rf_Cum,HML-RF_Cum,SP500_Return,top20-RF,top10-RF,top5-RF,randamu-RF,RF_div100
50,-0.0012760110449999986,2006-04-01,0.009501009560000006,0.006849222600000007,0.001879824505000004,0.73,0.0073,-1.42,2.34,0.36,0.01,-0.0178,0.0198,1.210974763,1.285998821,1.260548505,1.125603694,-0.004876011044999998,0.005901009560000006,0.0032492226000000067,-0.0017201754949999959,0.0036
51,0.011804155385000003,2006-05-01,-0.008170869130000001,0.00552860514,0.02104650205,-3.57,-0.0357,-2.96,2.41,0.43,-0.03,-0.0339,0.0198,1.167742964,1.242403461,1.285507366,1.090254207,0.0075041553850000026,-0.012470869130000001,0.0012286051400000001,0.01674650205,0.0043
52,-0.03175191325,2006-06-01,-0.013514180400000004,0.0231820996,-0.00415844705,-0.35,-0.0035,-0.39,0.85,0.4,0.0,-0.0079,0.0045,1.163655864,1.232588474,1.291292149,1.090348628,-0.03575191325,-0.017514180400000003,0.0191820996,-0.00815844705,0.004
53,0.033684370490000004,2006-07-01,0.045711591880000006,0.06351103198000001,0.0010601054849999972,-0.78,-0.0078,-3.98,2.6,0.4,0.01,-0.0438,0.022,1.154579348,1.178601099,1.319700576,1.095879884,0.029684370490000004,0.04171159188000001,0.059511031980000004,-0.002939894515000003,0.004
54,0.029318307425000006,2006-08-01,0.031195444,0.027222069000000005,0.0073997397399999994,2.03,0.0203,1.03,-2.06,0.42,0.02,0.0061,-0.0248,1.178017309,1.185790565,1.286972002,1.118949388,0.025118307425000007,0.026995444,0.023022069000000006,0.0031997397399999997,0.0042
55,0.04349680526300001,2006-09-01,0.058796262748000004,0.06263304809600001,0.03752924675,1.84,0.0184,-1.36,0.08,0.41,0.02,-0.0177,-0.0033,1.199692827,1.164802072,1.282724994,1.146105592,0.03939680526300001,0.054696262748000005,0.05853304809600001,0.03342924675,0.0040999999999999995
56,0.03162356680000001,2006-10-01,0.044023774,0.053469724999999996,0.018159950855000002,3.23,0.0323,1.75,-0.31,0.41,0.03,0.0134,-0.0072,1.238442905,1.18041042,1.273489374,1.181659892,0.02752356680000001,0.039923774,0.049369724999999996,0.014059950855000003,0.0040999999999999995
57,0.011608090330000003,2006-11-01,0.01798337979,0.02418396478,-0.013482506405000002,1.71,0.0171,0.7,0.14,0.42,0.02,0.0028,-0.0028,1.259620279,1.183715569,1.269923604,1.200959359,0.007408090330000003,0.013783379790000001,0.019983964780000002,-0.017682506405000003,0.0042
58,0.024221556715000002,2006-12-01,0.019499071530000002,0.020327397780000003,0.020451875560000003,0.87,0.0087,-1.14,2.73,0.4,0.01,-0.0154,0.0233,1.270578976,1.165486349,1.299512824,1.216015589,0.020221556715000002,0.015499071530000002,0.016327397780000003,0.016451875560000002,0.004
59,0.0015816397400000026,2007-01-01,0.00871415323,-0.0010777037399999946,0.0072217011295,1.4,0.014,0.13,-0.68,0.44,0.01,-0.0031,-0.0112,1.288367081,1.161873342,1.28495828,1.232992593,-0.002818360259999998,0.00431415323,-0.005477703739999995,0.0028217011294999995,0.0044
60,-0.004760149540000001,2007-02-01,-0.0013684690800000007,0.0004434624000000005,0.023500467610000002,-1.96,-0.0196,1.19,-0.14,0.38,-0.02,0.0081,-0.0052,1.263115086,1.171284516,1.278276497,1.205757875,-0.00856014954,-0.005168469080000001,-0.0033565375999999995,0.01970046761,0.0038
61,0.034242271430000006,2007-03-01,0.0343573334,0.019164013000000004,0.036208709384999996,0.68,0.0068,0.16,-0.97,0.43,0.01,-0.0027,-0.014,1.271704269,1.168122048,1.260380626,1.217731634,0.029942271430000007,0.030057333400000004,0.014864013000000004,0.031908709385,0.0043
62,0.04054297137,2007-04-01,0.01927943353,0.007091519559999998,0.03371788339500001,3.49,0.0349,-2.16,-1.45,0.44,0.04,-0.026,-0.0189,1.316086748,1.137750874,1.236559433,1.269338902,0.03614297137,0.01487943353,0.0026915195599999976,0.029317883395000008,0.0044
63,-0.006879610286000001,2007-05-01,-0.013188676972,-0.011683015739999998,-0.021506712824999996,3.24,0.0324,0.24,-0.65,0.41,0.03,-0.0017,-0.0106,1.358727959,1.135816698,1.223451903,1.309996745,-0.010979610286,-0.017288676971999997,-0.015783015739999996,-0.025606712824999996,0.0040999999999999995
64,-0.037269457425,2007-06-01,-0.034651423230000006,-0.011243486059999998,-0.026770357215,-1.96,-0.0196,0.74,-1.05,0.4,-0.02,0.0034,-0.0145,1.332096891,1.139678475,1.20571185,1.286447025,-0.041269457425,-0.03865142323000001,-0.015243486059999999,-0.030770357215,0.004
65,0.017567637335,2007-07-01,0.009593815770000002,-0.0196026194,0.029251062090000002,-3.73,-0.0373,-2.61,-3.71,0.4,-0.03,-0.0301,-0.0411,1.282409677,1.105374153,1.156157093,1.244631706,0.013567637335,0.0055938157700000015,-0.0236026194,0.02525106209,0.004
66,0.055122715247000006,2007-08-01,0.03729341020000001,0.04411899980000001,0.059373668925000005,0.92,0.0092,-0.12,-1.86,0.42,0.01,-0.0054,-0.0228,1.294207846,1.099405132,1.129796711,1.26054004,0.050922715247000004,0.033093410200000006,0.03991899980000001,0.055173668925,0.0042
67,0.02192314789,2007-09-01,0.027000864280000002,0.016109364,0.024676421079999997,3.22,0.0322,-2.23,-2.21,0.32,0.04,-0.0255,-0.0253,1.335881338,1.071370301,1.101212854,1.304871069,0.01872314789,0.02380086428,0.012909364000000001,0.021476421079999995,0.0032
68,-0.04094007940000001,2007-10-01,-0.022773138700000004,-0.020363168200000004,-0.043735480040000003,1.8,0.018,0.08,-2.98,0.32,0.01,-0.0024,-0.033,1.359927202,1.068799013,1.06487283,1.324070365,-0.04414007940000001,-0.025973138700000006,-0.023563168200000005,-0.046935480040000005,0.0032
69,-0.006784615210000001,2007-11-01,-0.0017921278200000012,-0.015714452500000003,-0.0011511805275000006,-4.83,-0.0483,-2.93,-0.94,0.34,-0.05,-0.0327,-0.0128,1.294242718,1.033849285,1.051242458,1.264430543,-0.010184615210000001,-0.0051921278200000014,-0.019114452500000004,-0.0045511805275,0.0034000000000000002
70,-0.027220656975,2007-12-01,-0.031155305930000002,-0.04043670358,-0.033068162365,-0.87,-0.0087,0.13,-0.55,0.27,-0.01,-0.0014,-0.0082,1.282982807,1.032401896,1.04262227,1.253473076,-0.029920656975,-0.03385530593,-0.04313670358,-0.035768162365,0.0027
71,-0.038508206705,2008-01-01,-0.028893536519999995,-0.06829815964000001,-0.013253908629999995,-6.36,-0.0636,-1.03,3.97,0.21,-0.06,-0.0124,0.0376,1.2013851,1.019600112,1.081824867,1.17436149,-0.040608206705,-0.030993536519999997,-0.07039815964000001,-0.015353908629999994,0.0021
