Date,Mkt-RF,Mkt-Rf_div100,SMB,HML,RF, S&P ,SMB-Rf,HML-RF,Mkt-Rf_Cum,SMB-Rf_Cum,HML-RF_Cum
200611,1.71,0.0171,0.7,0.14,0.42,0.02,0.0028,-0.0028,1.259620279,1.183715569,1.269923604
200612,0.87,0.0087,-1.14,2.73,0.4,0.01,-0.0154,0.0233,1.270578976,1.165486349,1.299512824
200701,1.4,0.014,0.13,-0.68,0.44,0.01,-0.0031,-0.0112,1.288367081,1.161873342,1.28495828
200702,-1.96,-0.0196,1.19,-0.14,0.38,-0.02,0.0081,-0.0052,1.263115086,1.171284516,1.278276497
200703,0.68,0.0068,0.16,-0.97,0.43,0.01,-0.0027,-0.014,1.271704269,1.168122048,1.260380626
200704,3.49,0.0349,-2.16,-1.45,0.44,0.04,-0.026,-0.0189,1.316086748,1.137750874,1.236559433
200705,3.24,0.0324,0.24,-0.65,0.41,0.03,-0.0017,-0.0106,1.358727959,1.135816698,1.223451903
200706,-1.96,-0.0196,0.74,-1.05,0.4,-0.02,0.0034,-0.0145,1.332096891,1.139678475,1.20571185
200707,-3.73,-0.0373,-2.61,-3.71,0.4,-0.03,-0.0301,-0.0411,1.282409677,1.105374153,1.156157093
200708,0.92,0.0092,-0.12,-1.86,0.42,0.01,-0.0054,-0.0228,1.294207846,1.099405132,1.129796711
200709,3.22,0.0322,-2.23,-2.21,0.32,0.04,-0.0255,-0.0253,1.335881338,1.071370301,1.101212854
200710,1.8,0.018,0.08,-2.98,0.32,0.01,-0.0024,-0.033,1.359927202,1.068799013,1.06487283
200711,-4.83,-0.0483,-2.93,-0.94,0.34,-0.05,-0.0327,-0.0128,1.294242718,1.033849285,1.051242458
200712,-0.87,-0.0087,0.13,-0.55,0.27,-0.01,-0.0014,-0.0082,1.282982807,1.032401896,1.04262227
200801,-6.36,-0.0636,-1.03,3.97,0.21,-0.06,-0.0124,0.0376,1.2013851,1.019600112,1.081824867
200802,-3.09,-0.0309,-0.43,-0.84,0.13,-0.04,-0.0056,-0.0097,1.164262301,1.013890352,1.071331166
200803,-0.93,-0.0093,0.71,0.3,0.17,-0.01,0.0054,0.0013,1.153434661,1.01936536,1.072723897
200804,4.6,0.046,-1.72,-0.94,0.18,0.05,-0.019,-0.0112,1.206492656,0.999997418,1.060709389
200805,1.86,0.0186,2.96,-1.43,0.18,0.01,0.0278,-0.0161,1.228933419,1.027797346,1.043631968
